,iter,precision,recall
Sleep stage 4,test,0.9572958686882738,0.8384502923976608
Sleep stage 4,val,0.9337085678549093,0.9796587926509186
Sleep stage W,test,0.8441283648759845,0.9590010683760684
Sleep stage W,val,0.9994541580828623,0.9981360343251038
