,iter,precision,recall
Sleep stage 4,test,0.9807466934538758,0.7136939571150097
Sleep stage 4,val,0.2732761978963771,0.9206036745406824
Sleep stage W,test,0.7583050498817238,0.984642094017094
Sleep stage W,val,0.9977280408577115,0.9343919251600197
